,US Equities,World Equities,US Treasuries,High Yield,Corp Bonds,Real Estate,Commodities,,Regime
5-Jun,0.002164,0.006273,0.014802,0.01528,-0.002535,0.042895,0.046889,,1
5-Jul,0.039347,0.043438,-0.026499,0.015452,-0.007027,0.056013,0.042746,,1
5-Aug,-0.009003,0.041842,0.029705,0.002922,0.017957,-0.036292,0.156904,,1
5-Sep,0.006522,0.020982,-0.025931,-0.009921,-0.016949,-0.003918,-0.026236,,1
5-Oct,-0.021291,-0.022586,-0.02174,-0.006102,-0.013012,-0.049744,-0.102394,,1
5-Nov,0.056751,0.030303,0.006572,0.005063,0.00551,0.07751,-0.012242,,1
5-Dec,-0.011636,0.039817,0.024889,0.007859,0.012284,-0.014034,0.005606,,1
6-Jan,0.036903,0.061863,-0.011346,0.017204,-0.004117,0.073696,0.023772,,1
6-Feb,0.00786,-0.001519,0.007561,0.005369,0.004117,0.017325,-0.078214,,1
6-Mar,0.009749,0.040431,-0.034215,0.006065,-0.012524,0.023981,0.051538,,1
6-Apr,0.006651,0.04451,-0.019308,0.006732,-0.006862,-0.025068,0.077551,,1
6-May,-0.015772,-0.040916,0.000151,-0.000904,0.001834,0.003844,-0.033597,,1
6-Jun,-0.003681,0.001274,-0.000064,-0.003312,0.000838,0.042979,0.020533,,1
6-Jul,-0.014345,-0.002936,0.027069,0.010762,0.016067,0.013063,0.01854,,1
6-Aug,0.034399,0.040795,0.027604,0.016389,0.020102,0.032449,-0.086539,,1
6-Sep,0.012577,0.002307,0.015681,0.013029,0.011649,0.024077,-0.110175,,1
6-Oct,0.031789,0.035637,0.007772,0.015797,0.011903,0.055172,-0.006891,,1
6-Nov,0.028566,0.026507,0.019715,0.016574,0.014803,0.051649,0.051636,,1
6-Dec,0.014481,0.029393,-0.021779,0.009027,-0.012073,-0.009938,-0.068822,,1
7-Jan,0.025029,0.019394,-0.007748,0.012491,-0.000296,0.082742,-0.033485,,1
7-Feb,-0.024227,-0.014014,0.030115,0.011031,0.022161,-0.04123,0.054589,,1
7-Mar,0.016618,0.038183,-0.009464,0.002666,-0.005926,-0.008704,0.030481,,1
